Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
"2021-07-16 11:25:37" 37    
"2021-07-16 12:25:36" 36.9    
"2021-07-16 13:25:36" 36.9    
"2021-07-16 14:25:36" 36.9    
"2021-07-16 15:25:36" 36.9    
"2021-07-16 16:25:34" 36.8    
"2021-07-16 17:25:34" 36.8    
"2021-07-16 18:25:34" 36.7    
"2021-07-16 19:25:33" 36.7    
"2021-07-16 20:25:33" 36.7    
"2021-07-16 21:25:33" 36.7    
"2021-07-16 22:25:33" 36.7    
"2021-07-16 23:25:31" 36.6    
"2021-07-17 00:25:31" 36.6    
"2021-07-17 01:25:31" 36.6    
"2021-07-17 02:25:31" 36.5    
"2021-07-17 03:25:31" 36.5    
"2021-07-17 04:25:31" 36.4    
"2021-07-17 05:25:31" 36.3    
"2021-07-17 06:25:29" 36.2    
"2021-07-17 07:25:27" 36.1    
"2021-07-17 08:25:27" 36    
"2021-07-17 09:25:27" 35.9    
"2021-07-17 10:25:27" 35.8    
"2021-07-17 11:25:27" 35.7    
"2021-07-17 12:25:27" 35.6    
"2021-07-17 13:25:27" 35.5    
"2021-07-17 14:25:27" 35.4    
"2021-07-17 15:25:26" 35.3    
"2021-07-17 16:25:26" 35.3    
"2021-07-17 17:25:26" 35.3    
"2021-07-17 18:25:25" 35.3    
"2021-07-17 19:25:25" 35.3    
"2021-07-17 20:25:24" 35.3    
"2021-07-17 21:25:24" 35.3    
"2021-07-17 22:25:23" 35.3    
"2021-07-17 23:25:23" 35.2    
"2021-07-18 00:25:23" 35.2    
"2021-07-18 01:25:23" 35.1    
"2021-07-18 02:25:22" 35    
"2021-07-18 03:25:22" 34.9    
"2021-07-18 04:25:22" 34.7    
"2021-07-18 05:25:22" 34.6    
"2021-07-18 06:25:20" 34.4    
"2021-07-18 07:25:20" 34.3    
"2021-07-18 08:25:21" 34.1    
"2021-07-18 09:25:19" 34    
"2021-07-18 10:25:19" 33.8    
"2021-07-18 11:25:19" 33.6    
"2021-07-18 12:25:19" 33.5    
"2021-07-18 13:25:19" 33.3    
"2021-07-18 14:25:17" 33.2    
"2021-07-18 15:25:17" 33.1    
"2021-07-18 16:25:17" 33    
"2021-07-18 17:25:16" 32.9    
"2021-07-18 18:25:16" 32.9    
"2021-07-18 19:25:16" 32.8    
"2021-07-18 20:25:16" 32.8    
"2021-07-18 21:25:16" 32.6    
"2021-07-18 22:25:16" 32.5    
"2021-07-18 23:25:14" 32.4    
"2021-07-19 00:25:14" 32.2    
"2021-07-19 01:25:14" 32    
"2021-07-19 02:25:14" 31.8    
"2021-07-19 03:25:14" 31.6    
"2021-07-19 04:25:13" 31.3    
"2021-07-19 05:25:12" 31.1    
"2021-07-19 06:25:12" 30.8    
"2021-07-19 07:25:11" 30.6    
"2021-07-19 08:25:11" 30.3    
"2021-07-19 09:25:11" 30.1    
"2021-07-19 10:25:11" 29.8    
"2021-07-19 11:25:10" 29.6    
