Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_uitheizen,precipitation
,,,,2021-07-01 16:29,0
,,,,2021-07-01 16:39,0
,,,,2021-07-01 16:49,0
,,,,2021-07-01 16:59,0
,,,,2021-07-01 17:09,0
,,,,2021-07-01 17:19,0
,,,,2021-07-01 17:29,0
,,,,2021-07-01 17:39,0
,,,,2021-07-01 17:49,0
,,,,2021-07-01 17:59,0
,,,,2021-07-01 18:09,0
,,,,2021-07-01 18:29,0
,,,,2021-07-01 18:39,0
,,,,2021-07-01 18:49,0
,,,,2021-07-01 18:59,0
,,,,2021-07-01 19:09,0
,,,,2021-07-01 19:19,0
,,,,2021-07-01 19:29,0
,,,,2021-07-01 19:39,0
,,,,2021-07-01 19:49,0
,,,,2021-07-01 19:59,0
,,,,2021-07-01 20:09,0
,,,,2021-07-01 20:19,0
,,,,2021-07-01 20:29,0
,,,,2021-07-01 20:39,0
,,,,2021-07-01 20:49,0
,,,,2021-07-01 20:59,0
,,,,2021-07-01 21:09,0
,,,,2021-07-01 21:19,0
,,,,2021-07-01 21:29,0
,,,,2021-07-01 21:39,0
,,,,2021-07-01 21:49,0
,,,,2021-07-01 21:59,0
,,,,2021-07-01 22:09,0
,,,,2021-07-01 22:19,0
,,,,2021-07-01 22:29,0
,,,,2021-07-01 22:39,0
,,,,2021-07-01 22:49,0
,,,,2021-07-01 22:59,0
,,,,2021-07-01 23:09,0
,,,,2021-07-01 23:19,0
,,,,2021-07-01 23:29,0
,,,,2021-07-01 23:39,0
,,,,2021-07-01 23:49,0
,,,,2021-07-01 23:59,0
,,,,2021-07-02 00:09,0
,,,,2021-07-02 00:19,0
,,,,2021-07-02 00:29,0
,,,,2021-07-02 00:39,0
,,,,2021-07-02 00:49,0
,,,,2021-07-02 00:59,0
,,,,2021-07-02 01:09,0
,,,,2021-07-02 01:19,0
,,,,2021-07-02 01:29,0
,,,,2021-07-02 01:39,0
,,,,2021-07-02 01:49,0
,,,,2021-07-02 01:59,0
,,,,2021-07-02 02:09,0
,,,,2021-07-02 02:19,0
,,,,2021-07-02 02:29,0.2
,,,,2021-07-02 02:59,0.5
,,,,2021-07-02 03:09,0.5
,,,,2021-07-02 03:29,0.2
,,,,2021-07-02 03:39,0.2
,,,,2021-07-02 03:49,0
,,,,2021-07-02 03:59,0
,,,,2021-07-02 04:09,0
,,,,2021-07-02 04:19,0
,,,,2021-07-02 04:29,0
,,,,2021-07-02 04:39,0
,,,,2021-07-02 04:49,0
,,,,2021-07-02 04:59,0
,,,,2021-07-02 05:09,0
,,,,2021-07-02 05:19,0
,,,,2021-07-02 05:29,0
,,,,2021-07-02 05:39,0
,,,,2021-07-02 05:49,0
,,,,2021-07-02 05:59,0
,,,,2021-07-02 06:09,0
,,,,2021-07-02 06:19,0
,,,,2021-07-02 06:29,0
,,,,2021-07-02 06:39,0
,,,,2021-07-02 06:49,0
,,,,2021-07-02 06:59,0
,,,,2021-07-02 07:09,0
,,,,2021-07-02 07:19,0
,,,,2021-07-02 07:29,0
,,,,2021-07-02 07:39,0
,,,,2021-07-02 07:49,0
,,,,2021-07-02 07:59,0
,,,,2021-07-02 08:09,0
,,,,2021-07-02 08:19,0
,,,,2021-07-02 08:29,0
,,,,2021-07-02 08:39,0
,,,,2021-07-02 08:49,0
,,,,2021-07-02 08:59,0
,,,,2021-07-02 09:09,0
,,,,2021-07-02 09:19,0
,,,,2021-07-02 09:29,0
,,,,2021-07-02 09:39,0
,,,,2021-07-02 09:49,0
,,,,2021-07-02 09:59,0
,,,,2021-07-02 10:09,0
,,,,2021-07-02 10:19,0
,,,,2021-07-02 10:29,0
,,,,2021-07-02 10:39,0
,,,,2021-07-02 10:49,0
,,,,2021-07-02 10:59,0
,,,,2021-07-02 11:09,0
,,,,2021-07-02 11:19,0
,,,,2021-07-02 11:29,0
,,,,2021-07-02 11:39,0
,,,,2021-07-02 11:49,0
,,,,2021-07-02 11:59,0
,,,,2021-07-02 12:09,0
,,,,2021-07-02 12:19,0
,,,,2021-07-02 12:29,0
,,,,2021-07-02 12:39,0
,,,,2021-07-02 12:50,0
,,,,2021-07-02 13:00,0
,,,,2021-07-02 13:10,0
,,,,2021-07-02 13:20,0
,,,,2021-07-02 13:30,0
,,,,2021-07-02 13:40,0
,,,,2021-07-02 13:50,0
,,,,2021-07-02 14:00,0
,,,,2021-07-02 14:10,0
,,,,2021-07-02 14:20,0
,,,,2021-07-02 14:30,0
,,,,2021-07-02 14:40,0
,,,,2021-07-02 14:50,0
,,,,2021-07-02 15:00,0
,,,,2021-07-02 15:10,0
,,,,2021-07-02 15:20,0
,,,,2021-07-02 15:30,0
,,,,2021-07-02 15:40,0
,,,,2021-07-02 15:50,0
,,,,2021-07-02 16:00,0
,,,,2021-07-02 16:10,0
,,,,2021-07-02 16:20,0
,,,,2021-07-02 16:30,0
,,,,2021-07-02 16:40,0
,,,,2021-07-02 16:50,0
,,,,2021-07-02 17:00,0
,,,,2021-07-02 17:10,0
,,,,2021-07-02 17:20,0
,,,,2021-07-02 17:30,0
,,,,2021-07-02 17:40,0
,,,,2021-07-02 17:50,0
,,,,2021-07-02 18:00,0
,,,,2021-07-02 18:10,0
,,,,2021-07-02 18:20,0
,,,,2021-07-02 18:30,0
,,,,2021-07-02 18:40,0
,,,,2021-07-02 18:50,0
,,,,2021-07-02 19:00,0
,,,,2021-07-02 19:10,0
,,,,2021-07-02 19:20,0
,,,,2021-07-02 19:30,0
,,,,2021-07-02 19:40,0
,,,,2021-07-02 19:50,0
,,,,2021-07-02 20:00,0
,,,,2021-07-02 20:10,0
,,,,2021-07-02 20:20,0
,,,,2021-07-02 20:30,0
,,,,2021-07-02 20:40,0
,,,,2021-07-02 20:50,0
,,,,2021-07-02 21:00,0
,,,,2021-07-02 21:10,0
,,,,2021-07-02 21:20,0
,,,,2021-07-02 21:30,0
,,,,2021-07-02 21:40,0
,,,,2021-07-02 21:50,0
,,,,2021-07-02 22:00,0
,,,,2021-07-02 22:10,0
,,,,2021-07-02 22:20,0
,,,,2021-07-02 22:30,0
,,,,2021-07-02 22:40,0
,,,,2021-07-02 22:50,0
,,,,2021-07-02 23:00,0
,,,,2021-07-02 23:10,0
,,,,2021-07-02 23:20,0
,,,,2021-07-02 23:30,0
,,,,2021-07-02 23:40,0
,,,,2021-07-02 23:50,0
,,,,2021-07-03 00:00,0
,,,,2021-07-03 00:10,0
