Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_tollebeek,precipitation
2021-06-30 12:08:51,31.6,34.5,32.5,2021-06-24 20:26,0
2021-06-30 11:08:51,31.6,34.5,32.4,2021-06-24 20:41,0
2021-06-30 10:08:51,31.7,34.6,32.4,2021-06-24 20:56,0
2021-06-30 09:08:51,31.7,34.5,32.4,2021-06-24 21:11,0
2021-06-30 08:08:51,31.7,34.6,32.5,2021-06-24 21:26,0
2021-06-30 07:08:51,31.8,34.6,32.5,2021-06-24 21:41,0
2021-06-30 04:08:51,31.9,34.6,32.5,2021-06-24 21:56,0
2021-06-30 03:08:51,31.8,34.6,32.5,2021-06-24 22:11,0
2021-06-30 02:08:51,31.9,34.7,32.6,2021-06-24 22:26,0
2021-06-30 01:08:51,31.9,34.7,32.6,2021-06-24 22:42,0
2021-06-30 00:08:51,32,34.6,32.6,2021-06-24 22:57,0
2021-07-01 23:08:51,31.8,35.3,33,2021-06-24 23:12,0
2021-07-01 22:08:51,31.8,35.4,33,2021-06-24 23:27,0
2021-07-01 21:08:51,31.9,35.5,33,2021-06-24 23:42,0
2021-07-01 20:08:51,31.9,35.5,33.1,2021-06-24 23:57,0
2021-07-01 19:08:51,31.9,35.5,33,2021-06-25 00:12,0
2021-07-01 18:08:51,31.9,35.5,33,2021-06-25 00:27,0
2021-07-01 17:08:51,31.9,35.5,33,2021-06-25 00:42,0
2021-07-01 16:08:51,32,35.6,33,2021-06-25 00:57,0
2021-07-01 15:08:51,32,35.6,33,2021-06-25 01:12,0
2021-07-01 14:08:51,31.9,35.6,33.1,2021-06-25 01:28,0
2021-07-01 13:08:51,32,35.6,33,2021-06-25 01:43,0
2021-07-01 12:08:51,32.1,35.7,33.2,2021-06-25 01:58,0
2021-07-01 11:08:51,32.2,35.6,33.1,2021-06-25 02:13,0
2021-07-01 10:08:51,32.2,35.6,33.2,2021-06-25 02:28,0
2021-07-01 09:08:51,32.2,35.7,33.2,2021-06-25 02:43,0
2021-07-01 08:08:51,32.3,35.8,33.2,2021-06-25 02:58,0
2021-07-01 07:08:51,32.3,35.9,33.3,2021-06-25 03:13,0
2021-07-01 06:08:51,32.5,35.9,33.3,2021-06-25 03:28,0
2021-07-01 05:08:51,32.4,35.8,33.2,2021-06-25 03:43,0
2021-07-01 04:08:51,32.6,35.8,33.2,2021-06-25 03:58,0
2021-07-01 03:08:51,32.2,35.5,33,2021-06-25 04:13,0
2021-07-01 02:08:51,32.3,35.5,33.1,2021-06-25 04:28,0
2021-07-01 01:08:51,32.3,35.5,33.1,2021-06-25 04:43,0
2021-07-01 00:08:51,32.3,35.5,33,2021-06-25 04:59,0
2021-07-02 23:08:51,31.2,35,32.8,2021-06-25 05:14,0
2021-07-02 22:08:51,31.1,34.9,32.7,2021-06-25 05:29,0
2021-07-02 21:08:51,31.1,35,32.8,2021-06-25 05:44,0
2021-07-02 20:08:51,31.3,35.1,32.8,2021-06-25 05:59,0
2021-07-02 19:08:51,31.2,35,32.7,2021-06-25 06:14,0
2021-07-02 18:08:51,31.2,35,32.7,2021-06-25 06:29,0
2021-07-02 17:08:51,31.2,35,32.6,2021-06-25 06:44,0
2021-07-02 16:08:51,31.2,35,32.7,2021-06-25 06:59,0
2021-07-02 14:08:51,31.4,35.1,32.7,2021-06-25 07:14,0
2021-07-02 13:08:51,31.5,35.1,32.8,2021-06-25 07:29,0
2021-07-02 11:08:51,31.6,35.1,32.9,2021-06-25 07:44,0
2021-07-02 10:08:51,31.7,35.1,32.9,2021-06-25 07:59,0
2021-07-02 09:08:51,31.7,35.2,32.9,2021-06-25 08:14,0
2021-07-02 08:08:51,31.7,35.2,32.9,2021-06-25 08:29,0
2021-07-02 07:08:51,31.7,35.2,32.9,2021-06-25 08:44,0
2021-07-02 06:08:51,31.7,35.2,32.9,2021-06-25 08:59,0
2021-07-02 05:08:51,31.7,35.2,33,2021-06-25 09:14,0
2021-07-02 04:08:51,31.8,35.3,32.9,2021-06-25 09:29,0
2021-07-02 03:08:51,31.6,35.3,32.9,2021-06-25 09:44,0
2021-07-02 02:08:51,31.7,35.3,32.9,2021-06-25 09:59,0
2021-07-02 00:08:51,31.7,35.4,33,2021-06-25 10:14,0
2021-07-03 23:08:52,30.7,34.7,32.4,2021-06-25 10:29,0
2021-07-03 22:08:52,30.7,34.8,32.5,2021-06-25 10:44,0
2021-07-03 21:08:52,30.5,34.8,32.4,2021-06-25 10:59,0
2021-07-03 20:08:52,30.5,34.8,32.4,2021-06-25 11:14,0
2021-07-03 19:08:51,30.5,34.7,32.3,2021-06-25 11:44,0
2021-07-03 18:08:51,30.5,34.8,32.4,2021-06-25 11:59,0
2021-07-03 17:08:51,30.4,34.8,32.4,2021-06-25 12:14,0
2021-07-03 16:08:51,30.4,34.8,32.4,2021-06-25 12:29,0
2021-07-03 14:08:51,30.5,34.7,32.3,2021-06-25 12:44,0
2021-07-03 13:08:51,30.7,34.8,32.4,2021-06-25 12:59,0
2021-07-03 12:08:51,30.8,34.8,32.4,2021-06-25 13:14,0
2021-07-03 11:08:51,30.9,34.8,32.5,2021-06-25 13:29,0
2021-07-03 10:08:51,31,34.8,32.5,2021-06-25 13:44,0
2021-07-03 09:08:51,31.1,34.9,32.5,2021-06-25 13:59,0
2021-07-03 08:08:51,31.1,34.8,32.5,2021-06-25 14:14,0
2021-07-03 07:08:51,31.1,34.9,32.5,2021-06-25 14:29,0
2021-07-03 06:08:51,31.1,35,32.6,2021-06-25 14:44,0
2021-07-03 05:08:51,31.1,35.2,32.7,2021-06-25 14:59,0
2021-07-03 04:08:51,31,35.3,32.8,2021-06-25 15:14,0
2021-07-03 03:08:51,31.1,35,32.7,2021-06-25 15:29,0
2021-07-03 02:08:51,31.1,35,32.8,2021-06-25 15:44,0
2021-07-03 01:08:51,31.1,34.9,32.7,2021-06-25 15:59,0
2021-07-03 00:08:51,31.1,35,32.8,2021-06-25 16:14,0
2021-07-04 23:08:52,32.5,36.4,33.8,2021-06-25 16:29,0
2021-07-04 22:08:52,32.6,36.6,33.8,2021-06-25 16:44,0
2021-07-04 21:08:52,33,36.9,34.1,2021-06-25 16:59,0
2021-07-04 20:08:52,32.6,36,33.3,2021-06-25 17:15,0
2021-07-04 19:08:52,32.4,35.9,33.1,2021-06-25 17:30,0
2021-07-04 18:08:52,32.3,35.6,32.9,2021-06-25 17:45,0
2021-07-04 17:08:52,31.8,34.8,32.6,2021-06-25 18:00,0
2021-07-04 16:08:52,30.7,34.7,32.4,2021-06-25 18:15,0
2021-07-04 15:08:52,30.4,34.6,32.3,2021-06-25 18:30,0
2021-07-04 14:08:52,30.6,34.6,32.3,2021-06-25 18:45,0
2021-07-04 13:08:52,30.6,34.5,32.2,2021-06-25 19:00,0
2021-07-04 12:08:52,30.7,34.6,32.3,2021-06-25 19:15,0
2021-07-04 11:08:52,30.7,34.6,32.3,2021-06-25 19:30,0
2021-07-04 10:08:52,30.8,34.6,32.3,2021-06-25 19:45,0
2021-07-04 09:08:52,30.9,34.7,32.3,2021-06-25 20:00,0
