Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
2021-07-15 42,6    
2021-07-15 42,4    
2021-07-15 42,2    
2021-07-15 42    
2021-07-15 41,7    
2021-07-15 41,3    
2021-07-15 41    
2021-07-15 40,7    
2021-07-15 40,3    
2021-07-15 40    
2021-07-15 39,6    
2021-07-15 39,3    
2021-07-15 38,9    
2021-07-15 38,6    
2021-07-16 38,3    
2021-07-16 38    
2021-07-16 37,8    
2021-07-16 37,6    
2021-07-16 37,4    
2021-07-16 37,4    
2021-07-16 37,3    
2021-07-16 37,2    
2021-07-16 37,1    
2021-07-16 37,1    
2021-07-16 37,1    
2021-07-16 37    
2021-07-16 36,9    
2021-07-16 36,9    
2021-07-16 36,9    
2021-07-16 36,9    
2021-07-16 36,8    
2021-07-16 36,8    
2021-07-16 36,7    
2021-07-16 36,7    
2021-07-16 36,7    
2021-07-16 36,7    
2021-07-16 36,7    
2021-07-16 36,6    
2021-07-17 36,6    
2021-07-17 36,6    
2021-07-17 36,5    
2021-07-17 36,5    
2021-07-17 36,4    
2021-07-17 36,3    
2021-07-17 36,2    
2021-07-17 36,1    
2021-07-17 36    
2021-07-17 35,9    
2021-07-17 35,8    
2021-07-17 35,7    
2021-07-17 35,6    
2021-07-17 35,5    
2021-07-17 35,4    
2021-07-17 35,3    
2021-07-17 35,3    
2021-07-17 35,3    
2021-07-17 35,3    
2021-07-17 35,3    
2021-07-17 35,3    
2021-07-17 35,3    
2021-07-17 35,3    
2021-07-17 35,2    
2021-07-18 35,2    
2021-07-18 35,1    
2021-07-18 35    
2021-07-18 34,9    
2021-07-18 34,7    
2021-07-18 34,6    
2021-07-18 34,4    
2021-07-18 34,3    
2021-07-18 34,1    
2021-07-18 34    
2021-07-18 33,8    
2021-07-18 33,6    
2021-07-18 33,5    
2021-07-18 33,3    
2021-07-18 33,2    
2021-07-18 33,1    
2021-07-18 33    
2021-07-18 32,9    
2021-07-18 32,9    
2021-07-18 32,8    
2021-07-18 32,8    
2021-07-18 32,6    
2021-07-18 32,5    
2021-07-18 32,4    
2021-07-19 32,2    
2021-07-19 32    
2021-07-19 31,8    
2021-07-19 31,6    
2021-07-19 31,3    
2021-07-19 31,1    
2021-07-19 30,8    
2021-07-19 30,6    
2021-07-19 30,3    
2021-07-19 30,1    
2021-07-19 29,8    
2021-07-19 29,6    
2021-07-19 29,3    
2021-07-19 29    
2021-07-19 28,6    
2021-07-19 28,4    
2021-07-19 28,1    
2021-07-19 27,8    
2021-07-19 27,6    
2021-07-19 27,3    
2021-07-19 27,1    
2021-07-19 26,8    
2021-07-19 26,5    
2021-07-19 26,2    
2021-07-20 25,9    
2021-07-20 25,5    
2021-07-20 25,1    
2021-07-20 24,6    
2021-07-20 24,2    
2021-07-20 23,8    
2021-07-20 23,5    
2021-07-20 23,1    
2021-07-20 22,7    
2021-07-20 22,4    
2021-07-20 22    
2021-07-20 21,6    
2021-07-20 21,3    
2021-07-20 20,9    
2021-07-20 20,5    
2021-07-20 20,3    
2021-07-20 20    
2021-07-20 19,8    
2021-07-20 19,6    
2021-07-20 19,4    
2021-07-20 19,3    
2021-07-20 19,1    
2021-07-20 19    
2021-07-20 18,8    
2021-07-21 18,6    
2021-07-21 18,3    
2021-07-21 18    
2021-07-21 17,7    
2021-07-21 17,4    
2021-07-21 17,1    
2021-07-21 16,7    
2021-07-21 16,4    
2021-07-21 16,1    
2021-07-21 15,8    
2021-07-21 15,5    
2021-07-21 15,2    
2021-07-21 14,9    
2021-07-21 14,7    
2021-07-21 14,5    
2021-07-21 14,3    
2021-07-21 14,2    
2021-07-21 14,1    
2021-07-21 14,1    
2021-07-21 14    
2021-07-21 13,9    
2021-07-21 13,9    
2021-07-21 13,8    
2021-07-21 13,8    
2021-07-22 13,7    
2021-07-22 13,5    
2021-07-22 13,4    
2021-07-22 13,3    
2021-07-22 13,1    
2021-07-22 13    
2021-07-22 12,8    
2021-07-22 12,7    
2021-07-22 12,5    
2021-07-22 12,3    
2021-07-22 12,2    
2021-07-22 12,1    
2021-07-22 11,9    
2021-07-22 11,7    
2021-07-22 11,6    
2021-07-22 11,4    
2021-07-22 11,3    
2021-07-22 11,2    
2021-07-22 11,2    
2021-07-22 11,2    
2021-07-22 11,2    
2021-07-22 11,2    
2021-07-22 11,1    
2021-07-22 11,1    
2021-07-23 11    
2021-07-23 10,9    
2021-07-23 10,8    
2021-07-23 10,7    
2021-07-23 10,6    
2021-07-23 10,5    
2021-07-23 10,4    
2021-07-23 10,4    
2021-07-23 10,3    
2021-07-23 10,3    
2021-07-23 10,2    
2021-07-23 10,2    
2021-07-23 10,1    
2021-07-23 10,1    
2021-07-23 10    
2021-07-23 10    
2021-07-23 10    
2021-07-23 9,9    
2021-07-23 9,9    
2021-07-23 9,9    
2021-07-23 9,9    
2021-07-23 9,9    
2021-07-23 9,9    
2021-07-23 9,9    
2021-07-24 9,9    
2021-07-24 9,9    
2021-07-24 9,8    
2021-07-24 9,8    
2021-07-24 9,8    
2021-07-24 9,7    
2021-07-24 9,7    
2021-07-24 9,6    
2021-07-24 9,6    
2021-07-24 9,5    
2021-07-24 9,5    
2021-07-24 9,4    
2021-07-24 9,3    
2021-07-24 9,2    
2021-07-24 9,2    
2021-07-24 9,2    
2021-07-24 9,2    
2021-07-24 9,2    
2021-07-24 9,2    
2021-07-24 9,3    
2021-07-24 9,3    
2021-07-24 9,3    
2021-07-24 9,4    
2021-07-24 9,4    
2021-07-25 9,5    
2021-07-25 9,5    
2021-07-25 9,6    
